"";"id";"date";"store_nbr";"family";"sales";"onpromotion"
"202";201;"2013-01-01";15;"BEVERAGES";0;0
"1984";1983;"2013-01-02";15;"BEVERAGES";938;0
"3766";3765;"2013-01-03";15;"BEVERAGES";701;0
"5548";5547;"2013-01-04";15;"BEVERAGES";809;0
"7330";7329;"2013-01-05";15;"BEVERAGES";868;0
"9112";9111;"2013-01-06";15;"BEVERAGES";867;0
"10894";10893;"2013-01-07";15;"BEVERAGES";682;0
"12676";12675;"2013-01-08";15;"BEVERAGES";587;0
"14458";14457;"2013-01-09";15;"BEVERAGES";522;0
"16240";16239;"2013-01-10";15;"BEVERAGES";607;0
"18022";18021;"2013-01-11";15;"BEVERAGES";676;0
"19804";19803;"2013-01-12";15;"BEVERAGES";808;0
"21586";21585;"2013-01-13";15;"BEVERAGES";624;0
"23368";23367;"2013-01-14";15;"BEVERAGES";619;0
"25150";25149;"2013-01-15";15;"BEVERAGES";445;0
"26932";26931;"2013-01-16";15;"BEVERAGES";570;0
"28714";28713;"2013-01-17";15;"BEVERAGES";552;0
"30496";30495;"2013-01-18";15;"BEVERAGES";404;0
"32278";32277;"2013-01-19";15;"BEVERAGES";729;0
"34060";34059;"2013-01-20";15;"BEVERAGES";616;0
"35842";35841;"2013-01-21";15;"BEVERAGES";707;0
"37624";37623;"2013-01-22";15;"BEVERAGES";687;0
"39406";39405;"2013-01-23";15;"BEVERAGES";597;0
"41188";41187;"2013-01-24";15;"BEVERAGES";432;0
"42970";42969;"2013-01-25";15;"BEVERAGES";483;0
"44752";44751;"2013-01-26";15;"BEVERAGES";861;0
"46534";46533;"2013-01-27";15;"BEVERAGES";615;0
"48316";48315;"2013-01-28";15;"BEVERAGES";629;0
"50098";50097;"2013-01-29";15;"BEVERAGES";403;0
"51880";51879;"2013-01-30";15;"BEVERAGES";474;0
"53662";53661;"2013-01-31";15;"BEVERAGES";498;0
"55444";55443;"2013-02-01";15;"BEVERAGES";590;0
"57226";57225;"2013-02-02";15;"BEVERAGES";748;0
"59008";59007;"2013-02-03";15;"BEVERAGES";554;0
"60790";60789;"2013-02-04";15;"BEVERAGES";529;0
"62572";62571;"2013-02-05";15;"BEVERAGES";454;0
"64354";64353;"2013-02-06";15;"BEVERAGES";337;0
"66136";66135;"2013-02-07";15;"BEVERAGES";470;0
"67918";67917;"2013-02-08";15;"BEVERAGES";566;0
"69700";69699;"2013-02-09";15;"BEVERAGES";479;0
"71482";71481;"2013-02-10";15;"BEVERAGES";459;0
"73264";73263;"2013-02-11";15;"BEVERAGES";517;0
"75046";75045;"2013-02-12";15;"BEVERAGES";315;0
"76828";76827;"2013-02-13";15;"BEVERAGES";433;0
"78610";78609;"2013-02-14";15;"BEVERAGES";636;0
"80392";80391;"2013-02-15";15;"BEVERAGES";635;0
"82174";82173;"2013-02-16";15;"BEVERAGES";721;0
"83956";83955;"2013-02-17";15;"BEVERAGES";642;0
"85738";85737;"2013-02-18";15;"BEVERAGES";657;0
"87520";87519;"2013-02-19";15;"BEVERAGES";536;0
"89302";89301;"2013-02-20";15;"BEVERAGES";609;0
"91084";91083;"2013-02-21";15;"BEVERAGES";612;0
"92866";92865;"2013-02-22";15;"BEVERAGES";634;0
"94648";94647;"2013-02-23";15;"BEVERAGES";684;0
"96430";96429;"2013-02-24";15;"BEVERAGES";692;0
"98212";98211;"2013-02-25";15;"BEVERAGES";679;0
"99994";99993;"2013-02-26";15;"BEVERAGES";408;0
"101776";101775;"2013-02-27";15;"BEVERAGES";560;0
"103558";103557;"2013-02-28";15;"BEVERAGES";490;0
"105340";105339;"2013-03-01";15;"BEVERAGES";561;0
"107122";107121;"2013-03-02";15;"BEVERAGES";684;0
"108904";108903;"2013-03-03";15;"BEVERAGES";646;0
"110686";110685;"2013-03-04";15;"BEVERAGES";757;0
"112468";112467;"2013-03-05";15;"BEVERAGES";472;0
"114250";114249;"2013-03-06";15;"BEVERAGES";569;0
"116032";116031;"2013-03-07";15;"BEVERAGES";810;0
"117814";117813;"2013-03-08";15;"BEVERAGES";518;0
"119596";119595;"2013-03-09";15;"BEVERAGES";687;0
"121378";121377;"2013-03-10";15;"BEVERAGES";639;0
"123160";123159;"2013-03-11";15;"BEVERAGES";603;0
"124942";124941;"2013-03-12";15;"BEVERAGES";556;0
"126724";126723;"2013-03-13";15;"BEVERAGES";512;0
